Date|Jurisdiction|Event|Description
3/8|Oregon, US|OR Emergency Declaration|
3/12|Oregon, US|OR No Large Gatherings (250+)|
3/17|Oregon, US|OR Shut Down|School closures, restaurant/bar closure, no 25+ gatherings, declaration of market disruption
3/19|Oregon, US|OR Conserve PPE|
3/21|Illinois, US|Illinois Stay-at-Home|
3/23|Oregon, US|OR Stay Home, Save Lives|
5/1|Georgia, US|Georgia Lifts Stay-at-Home|
5/1|Texas, US|Texas Restaurants/Malls Reopen|
5/15|Oregon, US|OR First 28 Counties Enter Phase 1|
5/22|Marion, Oregon, US|OR MarionCo Phase 1|
5/25|US|George Floyd Died|
5/29|Illinois, US|Illinois Lifts Stay-at-Home|
5/28|Oregon, US|Portland Protests Begin|
6/1|Washington, Oregon, US|OR WashCo Phase 1|
6/1|Michigan, US|Michigan Lifts Stay-at-Home|
6/5|Pennsylvania, US|Pennsylvania Lifts Stay-at-Home|
6/5|Oregon, US|OR First 26 Counties Enter Phase 2|
